year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,ffo_yld_reit,beta,realizedvol,lnmcap,market_equity,assets,btm,roe,ocf_at,debt_at,bookleverage,assetgrowth,dolvol,sale_me,ebitda_me,cash_at,net_income,book_equity,ret12
2009,12072,PKY,PARKWAY PROPERTIES INC,432.0,0.10259058958333334,0.008412231062838175,5.10058441927648e-05,1.3357759244468166,0.04675433017582814,12.612764411989675,315.49151166666667,1671.335,1.292967287671257,0.03701623883909977,0.04029497875,0.6139473775000001,4.502515438592503,6.421676857449266e-05,-56901403.666666664,0.9409887541666667,0.03261346758333333,0.011149048,-8.9495,369.99575,0.26273680774380215
2010,12072,PKY,PARKWAY PROPERTIES INC,444.0,0.0485136475,0.009323014345688375,4.129740952651963e-05,1.4058516918724095,0.025781679491842468,12.805330835893905,366.33728249999996,1608.0235,1.1077455056286911,-0.005989415044803708,0.041204499250000005,0.5899421675,4.393102004923777,1.5089211159281977e-05,-44966994.833333336,0.7400669591666666,0.03017159025,0.014656011500000002,-9.77675,401.46725,-0.14294977042301782
2011,12072,PKY,PARKWAY PROPERTIES INC,456.0,0.021109509166666665,0.0076112340450651,3.996049615502285e-05,1.4685939817256488,0.02767138456108083,12.674829669833606,327.13365333333337,1784.8125,1.2117552050368692,-0.016183286178996507,0.032983773,0.5572312125,4.133516250025601,-2.175223298746929e-05,-33808457.333333336,0.7261742025000001,0.01724109168333333,0.0217070115,-17.49625,379.72274999999996,-0.42393506828256866
2012,12072,PKY,PARKWAY PROPERTIES INC,468.0,0.0234388515,0.006605042734262125,3.235524638239137e-05,1.4561773759105467,0.016253295703674307,12.765281847567772,387.8218175,1640.7295000000001,0.8726230119690396,-0.30789769114241955,0.02956872875,0.429715865,5.4553049953444,9.68111644170223e-06,-49905465.166666664,0.5617313308333333,-0.007527083075,0.0265580945,-21.736500000000003,278.86625,0.46205137370880256
2013,12072,PKY,PARKWAY PROPERTIES INC,480.0,0.023855620083333334,0.00129829839671065,1.285455162015777e-06,1.5090110866229713,0.013908163015898358,13.983254795107229,1196.5709916666667,1907.47175,0.5210041145992702,-0.2585644566557796,0.03384446975,0.4534640275,4.614216865070449,0.00010483767030500828,-153516324.66666666,0.192116685,0.004839410308333333,0.03182345475,-42.3235,620.03875,0.42795948333660294
2014,12072,PKY,PARKWAY PROPERTIES INC,492.0,0.03133748616666667,0.00761395908990115,9.646185132813853e-06,1.4205114533778342,0.010761791778090925,14.499523783350758,1987.2790750000001,2799.96675,0.5134072277864402,-0.040323987635910816,0.02365941475,0.48000597250000004,3.079677141035136,0.0003805610433156917,-242219288.0,0.159166955,0.004923723683333333,0.02926430175,-38.16325,1028.08775,-0.008376696334929656
2015,12072,PKY,PARKWAY PROPERTIES INC,504.0,0.04359945816666667,0.0107714596979656,1.9790924916554518e-05,1.2775721146949588,0.012787254289638174,14.448022032763104,1884.76155,3589.1505,0.7324868463760227,0.009931954931149825,0.015569226,0.4844822725,2.750158661761953,0.0003780380204409333,-247681105.33333334,0.2438391675,0.006918076458333334,0.027119779250000003,28.18275,1376.576,-0.11056810724280342
2016,12072,PKY,PARKWAY PROPERTIES INC,513.0,0.047987996000000005,0.0107666660048045,2.1724795931330485e-05,1.3268026865122122,0.015857038185589666,14.401724437476162,1806.5676555555556,3613.184333333333,0.7854890946095847,0.038679443229486576,0.021992984666666666,0.4898692866666667,2.6349069673161845,0.00013771864256296562,-243470862.2222222,0.2681949711111111,0.011807449166666666,0.037451375,96.61,1404.5569999999998,0.1253398171271234
2010,12093,COR,CORESITE REALTY CORP,48.0,,,,,0.015959696741442767,12.517914767293682,274.35632250000003,266.777,0.6721043783960562,,0.005997828,0.261016605,,,-142509402.0,0.13450689,0.012336717125,0.028708727000000003,-3.266,181.922,-0.15985494935200006
2011,12093,COR,CORESITE REALTY CORP,60.0,0.0295200585,0.011113306248477875,2.1505900033553682e-05,,0.023389294501412635,12.675518936289933,320.56257999999997,827.629,0.7213107903482733,-0.0211247895486976,0.0257828895,0.1464301475,3.586934149733679,,-54943071.666666664,0.27732174666666665,-0.007120555491666666,0.10087139299999999,-6.05675,229.96850000000003,0.3531889715556502
2012,12093,COR,CORESITE REALTY CORP,72.0,0.026269880833333332,0.019116392228879602,3.0131292996031703e-05,0.9571720974528979,0.014865998315495692,13.150405445275,517.3003825,811.20925,0.4472447679269895,-0.02035550755209799,0.0730934925,0.15737214000000002,3.5196803187089762,-2.97709795372532e-05,-92606976.66666667,0.34461847249999994,-0.00161265345,0.01961972875,-2.813,228.87825,0.6005857903797203
